,Título,Zona,Precio,M2,Habitaciones,Baños,Terraza,Amueblado,Parking,Link,Latitud,Longitud,M2_Terraza,Duration_Miqui,Duracion_Pau,Duracion_Fede,Duracion_Joan,Duracion_Vallparc,Duracion_Pompeia
14,Alquiler apartamento en carrer portal de santa madrona muy centrico en Barcelona,Raval,1250.0,112.0,5.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-muy_centrico_calle_portal_de_santa_madrona_7_raval-barcelona-i11446004056976.htm?pag=186&f=&geo=p&from=list&lo=55,41.3768557,2.1758048,['5'],6.433333333333334,7.116666666666666,16.0,10.733333333333333,24.016666666666666,10.95
15,Alquiler piso en minería piso de 100 metros con piscina y en Barcelona,La Marina-Montjuïc,1380.0,100.0,4.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-de_100_metros_con_piscina_y_mineria_1_la_marina_montjuic-barcelona-i3981004032026.htm?pag=183&f=&geo=p&from=list&lo=55,41.3643186,2.1364799,['25'],18.15,15.45,13.983333333333333,12.95,21.466666666666665,7.833333333333333
16,Alquiler piso amueblado y bien comunicado en Raval Barcelona,Raval,1200.0,146.0,4.0,2.0,Si,Si,,https://www.habitaclia.com/alquiler-piso-amueblado_y_bien_comunicado_raval-barcelona-i19734004017437.htm?pag=179&f=&geo=p&from=list&lo=55,41.3840252338,2.1705627559000003,['3'],4.1,4.783333333333333,13.683333333333334,8.4,20.4,12.833333333333334
17,Alquiler piso junto l`illa diagonal en Les Corts Barcelona,Les Corts,1190.0,80.0,4.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-junto_lilla_diagonal_les_corts-barcelona-i473000335104.htm?pag=145&f=&geo=p&from=list&lo=55,41.3890820816,2.1365549180000003,['7'],17.083333333333332,7.516666666666667,3.0166666666666666,3.6666666666666665,17.366666666666667,12.45
18,Alquiler piso 4hab. 2 baños. muebles. asc en Sant Andreu Barcelona,Sant Andreu,920.0,90.0,4.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-4hab_2_banos_muebles_asc_sant_andreu-barcelona-i3369004023310.htm?pag=143&f=&geo=p&from=list&lo=55,41.4420433493,2.1889918061,['3'],23.966666666666665,24.616666666666667,32.25,26.983333333333334,15.733333333333333,24.166666666666668
19,Alquiler piso  alquiler de 4 dorm dobles en Camp d´en Grassot - Gràcia N. Barcelona,Camp d´en Grassot - Gràcia N.,1395.0,137.0,4.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-de_4_dorm_dobles_camp_d_en_grassot_gracia_n-barcelona-i541003949848.htm?pag=140&f=&geo=p&from=list&lo=55,41.4020060407,2.1683064705,['3'],9.15,6.266666666666667,13.916666666666666,8.65,20.566666666666666,15.716666666666667
20,Alquiler piso en carrer mare de deu del coll gran piso cerca de plaza lesseps en Barcelona,La Salut,1000.0,98.0,4.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-gran_cerca_de_plaza_lesseps_calle_mare_de_deu_del_coll_44_la_salut-barcelona-i10374002683970.htm?pag=139&f=&geo=p&from=list&lo=55,41.4099279,2.1487463,['8'],20.55,12.333333333333334,15.716666666666667,15.3,11.533333333333333,21.783333333333335
21,Alquiler apartamento en avinguda paral.lel poble sec - piso de 110m² con ba en Barcelona,Sant Antoni,1500.0,110.0,4.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-apartamento-poble_sec_piso_de_110m2_con_ba_avenida_parallel_100_sant_antoni-barcelona-i13108004073915.htm?pag=125&f=&geo=p&from=list&lo=55,41.3751685,2.164724,['6'],9.15,10.0,14.216666666666667,8.95,24.083333333333332,8.1
22,"Alquiler dúplex duplex con 4 habitaciones, amueblado y ascensor en Barcelona",Sant Ramon - Maternitat,1450.0,149.0,4.0,3.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-duplex-con_4_habitaciones_amueblado_y_ascensor_sant_ramon_maternitat-barcelona-i3085003764157.htm?pag=94&f=&geo=p&from=list&lo=55,41.37816,2.12323,['20'],23.6,13.266666666666667,5.516666666666667,9.483333333333333,18.633333333333333,12.8
23,"Alquiler piso en carrer paris paris, josep tarradellas en Barcelona",Esquerra Alta de l´Eixample,1200.0,92.0,4.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-paris_josep_tarradellas_calle_paris_58_esquerra_alta_de_l_eixample-barcelona-i2125004054793.htm?pag=80&f=&geo=p&from=list&lo=55,41.3868239,2.1443845,['6'],14.583333333333334,7.433333333333334,6.35,3.5166666666666666,20.116666666666667,9.316666666666666
24,Alquiler piso en carrer muntaner amueblado y equipado en Barcelona,Esquerra Alta de l´Eixample,1220.0,100.0,4.0,2.0,Si,Si,,https://www.habitaclia.com/alquiler-piso-amueblado_y_equipado_calle_muntaner_155_esquerra_alta_de_l_eixample-barcelona-i14157004060970.htm?pag=73&f=&geo=p&from=list&lo=55,41.3910971,2.153274,['5'],10.566666666666666,1.8166666666666667,7.866666666666666,2.6,16.966666666666665,13.583333333333334
25,Alquiler piso en avinguda republica argentina ideal estudiantes en Barcelona,Putget - Farró,1250.0,85.0,4.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-ideal_estudiantes_avenida_republica_argentina_47_putget_farro-barcelona-i9863004070337.htm?pag=68&f=&geo=p&from=list&lo=55,41.4090021,2.1467505,['6'],21.716666666666665,13.5,16.116666666666667,16.483333333333334,8.633333333333333,20.566666666666666
26,Alquiler piso amplio y luminoso! en Esquerra Baixa de l´Eixample Barcelona,Esquerra Baixa de l´Eixample,1650.0,138.0,4.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-amplio_y_luminoso_esquerra_baixa_de_l_eixample-barcelona-i8306002332535.htm?pag=42&f=&geo=p&from=list&lo=55,41.3755344612,2.1551213699000002,['2'],9.0,9.016666666666667,9.366666666666667,8.216666666666667,22.816666666666666,5.516666666666667
27,Alquiler piso  centrico y bien cuidado en Sant Antoni Barcelona,Sant Antoni,1290.0,96.0,4.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-centrico_y_bien_cuidado_sant_antoni-barcelona-i9569004020349.htm?pag=28&f=&geo=p&from=list&lo=55,41.3788694844,2.1578106532,['4'],7.0,7.266666666666667,11.483333333333333,6.216666666666667,21.733333333333334,7.3
28,Alquiler piso en carrer casp ideal para compartir en Barcelona,Fort Pienc,1100.0,86.0,4.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-ideal_para_compartir_calle_casp_160_fort_pienc-barcelona-i5935003897196.htm?pag=62&f=&geo=p&from=list&lo=55,41.3968045,2.1808064,['6'],4.266666666666667,7.65,15.283333333333333,10.016666666666667,24.2,14.15
29,Alquiler piso en carrer sardenya piso amueblado con parking en Barcelona,Fort Pienc,1000.0,90.0,4.0,2.0,Si,Si,Plaza parking ,https://www.habitaclia.com/alquiler-piso-amueblado_con_parking_calle_sardenya_101_fort_pienc-barcelona-i13157003941380.htm?pag=65&f=&geo=p&from=list&lo=55,41.3951059941,2.1841353027,['6'],4.766666666666667,8.2,15.833333333333334,10.566666666666666,23.033333333333335,16.083333333333332
30,Alquiler piso en carrer almeria para entrar 1 al 15 julio 2021 en Barcelona,La Bordeta,1400.0,110.0,4.0,2.0,Si,Si,Plaza parking ,https://www.habitaclia.com/alquiler-piso-para_entrar_1_al_15_julio_2021_calle_almeria_42_la_bordeta-barcelona-i3981004081820.htm?pag=73&f=&geo=p&from=list&lo=55,41.3718779,2.1390606,['3'],15.9,11.133333333333333,8.05,8.383333333333333,24.633333333333333,9.666666666666666
31,"Alquiler piso 4habitaciones, 2baños, terraza! en Putget - Farró Barcelona",Putget - Farró,1050.0,115.0,4.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-4habitaciones_2banos_terraza_putget_farro-barcelona-i33202004068968.htm?pag=85&f=&geo=p&from=list&lo=55,41.405343482199996,2.1447883951,['7'],20.183333333333334,10.516666666666667,11.033333333333333,11.766666666666667,13.333333333333334,16.166666666666668
32,"Alquiler piso sexto con 4 habitaciones, amueblado, ascensor y piscina comunitaria en Barcelona",Sant Ramon - Maternitat,1600.0,133.0,4.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-sexto_con_4_habitaciones_amueblado_ascensor_y_piscina_comunita_sant_ramon_maternitat-barcelona-i3085003764134.htm?pag=94&f=&geo=p&from=list&lo=55,41.37757,2.11394,['6'],26.033333333333335,15.7,8.866666666666667,11.916666666666666,17.65,15.2
33,Alquiler piso ¡4 dormitorios y grande patio! en La Salut Barcelona,La Salut,1130.0,100.0,4.0,2.0,Si,Si,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-4_dormitorios_y_grande_patio_la_salut-barcelona-i15217003879967.htm?pag=97&f=&geo=p&from=list&lo=55,41.4096916847,2.1521915963,['15'],18.866666666666667,12.2,15.583333333333334,15.183333333333334,11.466666666666667,19.483333333333334
