id,url,launch_library_id,slug,name,net,window_end,window_start,mission,mission_type,pad,location,landing,landing_success,launcher,orbit,image,status.id,status.name
c5a9ba01-d03f-4fd7-940a-8a10d535809a,http://spacelaunchnow.me/api/3.3.0/launch/c5a9ba01-d03f-4fd7-940a-8a10d535809a/,1312.0,https://spacelaunchnow.me/launch/atlas-v-531-nrol-101,Atlas V 531 | NROL-101,2020-09-01T00:00:00Z,2020-09-01T00:00:00Z,2020-09-01T00:00:00Z,NROL-101,Government/Top Secret,Space Launch Complex 41,"Cape Canaveral, FL, USA",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/atlas2520v2520531_image_20190222030726.jpeg,2,TBD
15468d99-b3eb-4bf4-81b3-3fda9d2e579d,http://spacelaunchnow.me/api/3.3.0/launch/15468d99-b3eb-4bf4-81b3-3fda9d2e579d/,1321.0,https://spacelaunchnow.me/launch/vega-ssms-poc,Vega | SSMS POC,2020-09-01T01:51:10Z,2020-09-01T01:51:10Z,2020-09-01T01:51:10Z,SSMS POC,Dedicated Rideshare,Ariane Launch Area 1,"Kourou, French Guiana",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/vega_image_20190224025010.jpeg,2,TBD
1851e490-8d1b-4ec6-8efe-539e30cabe2e,http://spacelaunchnow.me/api/3.3.0/launch/1851e490-8d1b-4ec6-8efe-539e30cabe2e/,1686.0,https://spacelaunchnow.me/launch/soyuz-21bfregat-m-gonets-m27-gonets-m28-gonets-m29,"Soyuz 2.1b/Fregat-M | Gonets-M27, Gonets-M28, Gonets-M29",2020-09-29T00:00:00Z,2020-09-29T00:00:00Z,2020-09-29T00:00:00Z,,,43/3 (43L),"Plesetsk Cosmodrome, Russian Federation",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/soyuz25202.1b_image_20190520165337.jpg,2,TBD
23e362ae-8523-4224-9447-d05c4db03b8f,http://spacelaunchnow.me/api/3.3.0/launch/23e362ae-8523-4224-9447-d05c4db03b8f/,1525.0,https://spacelaunchnow.me/launch/falcon-9-block-5-gps-iii-sv04,Falcon 9 Block 5 | GPS III SV04,2020-09-30T00:00:00Z,2020-09-30T00:00:00Z,2020-09-30T00:00:00Z,,,Space Launch Complex 40,"Cape Canaveral, FL, USA",JRTI,0.0,B1062,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/falcon25209_image_20190224025007.jpeg,2,TBD
8437236d-1ee4-451e-bca3-45b2ac038359,http://spacelaunchnow.me/api/3.3.0/launch/8437236d-1ee4-451e-bca3-45b2ac038359/,1674.0,https://spacelaunchnow.me/launch/long-march-6-satellogic-x-10,Long March 6  | Satellogic x 10,2020-09-30T00:00:00Z,2020-09-30T00:00:00Z,2020-09-30T00:00:00Z,Satellogic x 13,Earth Science,Launch Complex 16,"Taiyuan, People's Republic of China",,,,LEO,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/long2520march25206_image_20190224012243.jpeg,2,TBD
fd63c683-f3e4-465a-8230-b9ba62744c7d,http://spacelaunchnow.me/api/3.3.0/launch/fd63c683-f3e4-465a-8230-b9ba62744c7d/,1416.0,https://spacelaunchnow.me/launch/falcon-9-block-5-sirius-sxm-7,Falcon 9 Block 5 | Sirius SXM-7,2020-09-30T00:00:00Z,2020-09-30T00:00:00Z,2020-09-30T00:00:00Z,SXM-7,Communications,Space Launch Complex 40,"Cape Canaveral, FL, USA",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/falcon25209_image_20190224025007.jpeg,2,TBD
6183311b-da90-4934-a665-1a1ae563cba8,http://spacelaunchnow.me/api/3.3.0/launch/6183311b-da90-4934-a665-1a1ae563cba8/,2027.0,https://spacelaunchnow.me/launch/antares-230-cygnus-crs-2-ng-14,Antares 230+ | Cygnus CRS-2 NG-14,2020-09-30T02:26:00Z,2020-09-30T02:26:00Z,2020-09-30T02:26:00Z,Cygnus CRS-2 NG-14,Resupply,Launch Area 0 A,"Wallops Island, Virginia, USA",,,,LEO,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/antares2520230252b_image_20191102024633.jpeg,2,TBD
3277ea9a-9ce3-4e96-9d2a-dfd15155ea61,http://spacelaunchnow.me/api/3.3.0/launch/3277ea9a-9ce3-4e96-9d2a-dfd15155ea61/,2060.0,https://spacelaunchnow.me/launch/electron-strix,Electron | StriX-α,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,,,Rocket Lab Launch Complex 1A,"Onenui Station, Mahia Peninsula, New Zealand",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/electron_image_20190705175640.jpeg,2,TBD
4342580a-9380-47c8-803e-777265b3167b,http://spacelaunchnow.me/api/3.3.0/launch/4342580a-9380-47c8-803e-777265b3167b/,1338.0,https://spacelaunchnow.me/launch/vega-c-2-x-pleiades-neo,Vega-C | 2 x Pléiades Neo,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,,,Ariane Launch Area 1,"Kourou, French Guiana",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/vega-c_image_20190224012332.jpeg,2,TBD
495fe114-753d-48b1-9d23-eb9adaa3fb23,http://spacelaunchnow.me/api/3.3.0/launch/495fe114-753d-48b1-9d23-eb9adaa3fb23/,1347.0,https://spacelaunchnow.me/launch/atlas-v-551-stp-3,Atlas V 551 | STP-3,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,2020-10-01T00:00:00Z,,,Space Launch Complex 41,"Cape Canaveral, FL, USA",,,,,https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/atlas2520v2520551_image_20190224012316.jpeg,2,TBD
