id,name,isin,symbol,contractSize,productType,productTypeId,tradable,category,currency,exchangeId,onlyEodPrices,orderTimeTypes,buyOrderTypes,sellOrderTypes,productBitTypes,closePrice,closePriceDate,feedQuality,orderBookDepth,vwdIdentifierType,vwdId,qualitySwitchable,qualitySwitchFree,vwdModuleId,etfIssuerId,feeType,region,totalExpenseRatio,quoteCurrency,assetAllocation,administrator,benchmark,class,feedQualitySecondary,orderBookDepthSecondary,vwdIdentifierTypeSecondary,vwdIdSecondary,qualitySwitchableSecondary,qualitySwitchFreeSecondary,vwdModuleIdSecondary,strikePrice,expirationDate
5336136,ETFS ROBO-STOX Global Robotics and Automation GO UCITS ETF,IE00BMW3QX54,ROBE,1.0,ETF,131,True,H,EUR,570,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],21.885,2021-04-09,D15,0.0,issueid,260013736,True,False,14.0,74,1,Worldwide,0.8,EUR,Shares,BNY Mellon Fund Services (Ireland) Designated Activity Company,*none*,USD Accumulating ETF,,,,,,,,,
871972,HSBC MSCIJAPAN ETF,IE00B5VX7566,MJP,1.0,ETF,131,True,H,EUR,710,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],33.685,2021-04-09,R,0.0,issueid,360028228,False,False,1.0,35,2,Japan,0.4,PNC,Shares,HSBC Investment Funds (Luxembourg) S.A.,*none*,USD,,,,,,,,-0.0001,
7021,ISH.ST.EU.600 REAL ES.U.ETF DE,DE000A0Q4R44,EXI5,1.0,ETF,131,True,H,EUR,194,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],17.996,2021-04-09,D15,0.0,issueid,480172603,False,False,25.0,39,1,*none*,0.46,EUR,Real Estate,BlackRock Asset Management Deutschland,STOXX® Europe 600 Real Estate Index,EUR (Dist),,,,,,,,0.0,
16868230,Vanguard USD Corporate Bond UCITS ETF Acc,IE00BGYWFK87,VUCE,1.0,ETF,131,True,G,EUR,608,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLIMIT']",[],49.515,2021-04-09,D15,0.0,issueid,450308469,True,False,12.0,181,1,*none*,,*none*,*none*,*none*,*none*,*none*,,,,,,,,,
18709887,Vanguard Group (Ireland) Ltd,IE00BMVB5M21,V40A,1.0,ETF,131,True,A,EUR,194,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],25.77,2021-04-09,D15,0.0,issueid,485015444,False,False,25.0,181,1,Worldwide,0.0,EUR,Mixed,Vanguard Group (Ireland) Ltd,*none*,(EUR) ACCUMULATING,,,,,,,,,
4622142,ISHARES GLOBAL CORP BOND UCITS ETF DIST,IE00B7J7TB45,CORP,1.0,ETF,131,True,F,EUR,608,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLIMIT']",[],87.9,2021-04-09,D15,0.0,issueid,300100271,True,False,12.0,39,1,*none*,0.2,GBP,Bonds,BlackRock Asset Management Ireland Ltd,Bloomberg Barclays Global Aggregate Corporate Bond Index (USD),USD (Dist),,,,,,,,,
15226282,iShares MSCI USA ESG Screened UCITS ETF USD Dist,IE00BFNM3H51,SDUS,1.0,ETF,131,True,H,USD,570,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],7.718,2021-04-09,D15,0.0,issueid,430131521,True,False,14.0,39,1,United States,0.07,USD,Shares,BlackRock Asset Management Ireland Ltd,MSCI USA ESG Screened Index,USD (Dist),,,,,,,,,
15273113,SPDR S&P 500 EUR HDG UCITS ETF (ACC),IE00BYYW2V44,SPXE,1.0,ETF,131,True,I,EUR,608,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLIMIT']",[],10.498,2021-04-09,D15,0.0,issueid,450274439,True,False,12.0,181,1,United States,0.0,EUR,Shares,State Street Fund Services (Ireland) Limited,S&P 500 Index,EUR Hdg UCITS ETF (Acc),,,,,,,,,
5510199,WisdomTree EM Equity Income UCITS ETF,IE00BQQ3Q067,DEM,1.0,ETF,131,True,I,EUR,608,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLIMIT']",[],13.122,2021-04-09,D15,0.0,issueid,300100479,True,False,12.0,68,1,Emerging markets,0.46,PNC,Shares,WisdomTree Management Ltd.,WisdomTree Emerging Markets High Dividend Index (TR),*none*,,,,,,,,,
11445928,UBS ETF-MSCI USA Socially Responsible U (htoEUR)Ad ETF,LU1280303014,USSRF,1.0,ETF,131,True,H,EUR,608,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLIMIT']",[],22.225,2021-04-09,D15,0.0,issueid,450225466,True,False,12.0,63,1,United States,0.43,EUR,Shares,UBS Fund Management (Luxembourg) S.A.,MSCI USA SRI Low Carbon Select 5% Issuer Capped Index,(hedged to EUR) A,,,,,,,,,
5274807,Invesco Morningstar US Engy Infra MLP ETF Dist,IE00B8CJW150,MLPD,1.0,ETF,131,True,I,EUR,608,False,['DAY'],"['LIMIT', 'MARKET', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLIMIT']",[],28.4,2021-04-09,D15,0.0,issueid,300100453,True,False,12.0,57,1,United States,0.5,PNC,Shares,Invesco Investment Management Limited,*none*,B,,,,,,,,,
18417236,Exchange Traded Fund ish Msci Wrld Sri Chf Hdgd (Ishares Iv Plc),IE00BMZ17V16,SCWS,1.0,ETF,131,True,I,CHF,947,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],5.772,2021-04-09,D15,0.0,issueid,490175375,False,False,18.0,181,1,Worldwide,0.23,CHF,Shares,BlackRock Asset Management Ireland Ltd,MSCI WORLD SRI Select Index,GBP Hedged (Dist),,,,,,,,,
14448531,iShares Dvlp Mrkts Prop Yld UCITS ETF EUR Hgd Acc,IE00BDZVHD04,DPYE,1.0,ETF,131,True,H,EUR,570,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],5.85,2021-04-09,D15,0.0,issueid,430129972,True,False,14.0,181,1,*none*,0.64,EUR,Real Estate,BlackRock Asset Management Ireland Ltd,FTSE EPRA/NAREIT Global Dividend + Index,EUR Hedged (Acc),,,,,,,,,
