id,name,isin,symbol,contractSize,productType,productTypeId,tradable,category,currency,exchangeId,onlyEodPrices,orderTimeTypes,buyOrderTypes,sellOrderTypes,productBitTypes,closePrice,closePriceDate,feedQuality,orderBookDepth,vwdIdentifierType,vwdId,qualitySwitchable,qualitySwitchFree,vwdModuleId,strikePrice,expirationDate
10420465,BAYER AG 2015/2075,DE000A14J611,BAYC,0.01,BOND,2,True,B,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']",[],101.72,2021-04-09,R,0.0,issueid,150074445,False,False,25.0,,2-4-2075
13570743,LITAUEN 17/47 MTN,XS1619568139,XS1619568139,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],139.46,2021-04-09,R,0.0,issueid,600050008,False,False,25.0,,22-5-2047
5882162,O2 TELE.DTLD ANL.14/21,XS1025752293,O21U,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']",[],99.996,2021-02-09,R,0.0,issueid,150051420,False,False,25.0,,10-2-2021
1538731,BNG FRN9FEB21,XS0575962286,XS0575962286,0.01,BOND,2,True,B,EUR,200,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],100.012,2021-04-09,R,0.0,issueid,386308,False,False,1.0,,9-2-2021
853410,DPOSTB FT3 FRNPL,DE000A0D24Z1,DE000A0D24Z1,0.01,BOND,2,True,C,EUR,200,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],96.95,2021-04-09,R,0.0,issueid,208711,False,False,1.0,-0.0001,
14928925,TOUAX5.75%31JUL23,FR0013351178,TOUAF,0.01,BOND,2,True,D,EUR,710,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],100.46,2021-04-09,R,0.0,issueid,591081077,False,False,1.0,,31-7-2023
11402385,KLOECKNER+CO.F.S.16/23 CV,DE000A185XT1,DE000A185XT1,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],106.52,2021-04-09,R,0.0,issueid,150089387,False,False,25.0,,8-9-2023
13720898,MOGO 14-21,LV0000801363,LV0000801363,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],98.7,2021-03-30,R,0.0,issueid,600052860,False,False,25.0,,31-3-2021
8143405,LIMOUSIN0.72%OCT21,FR0013004983,RLIAE,0.01,BOND,2,True,F,EUR,710,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],,,R,0.0,issueid,590715730,False,False,1.0,,13-10-2021
1813238,BNP2.875%22OCT2022,XS0847433561,BNPCT,0.01,BOND,2,True,D,EUR,710,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],108.17,2021-04-09,R,0.0,issueid,360113474,False,False,1.0,,24-10-2022
854434,NIBC FRNPL,XS0215294512,XS0215294512,0.01,BOND,2,True,D,USD,200,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],93.75,2021-04-09,R,0.0,issueid,206728,False,False,1.0,-0.0001,
16276807,EKOSEM-AGRAR AG 19/24,DE000A2YNR08,,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],99.9,2021-04-09,R,0.0,issueid,600092096,False,False,25.0,,1-8-2024
12274287,FUGRO 16/21 CV,XS1508771216,F3DA,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],92.0,2021-04-09,R,0.0,issueid,150090407,False,False,25.0,,26-10-2021
16817189,ESD3E STN1226G,XS2089974245,INGPG,0.01,BOND,2,True,D,EUR,712,False,['DAY'],['LIMIT'],['LIMIT'],[],103.91,2021-04-09,R,0.0,issueid,600585012,False,False,1.0,,28-12-2026
1524605,BUNDANL.V. 11/22,DE0001135465,BB46,0.01,BOND,2,True,D,EUR,194,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],109.101,2018-05-28,,,,,,,,,4-1-2022
13934763,INSOFIN.IND.REAL 17/24,DE000A2GSD35,ISF1,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],81.01,2020-11-02,R,0.0,issueid,600050864,False,False,25.0,,1-10-2024
9109787,CLOVERIE 12/42 FLR MTN,XS0802738434,C59C,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']",[],110.67,2020-12-04,R,0.0,issueid,150070075,False,False,25.0,,
13189132,NORDLB NACHR.IS.14/24,DE000NLB8E26,DE000NLB8E26,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],103.16,2021-04-09,R,0.0,issueid,150072916,False,False,25.0,,18-12-2024
5425079,EIB EUR.INV.BK 13/35 MTN,XS0878008225,,0.01,BOND,2,True,B,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']",[],133.28,2021-04-09,R,0.0,issueid,150070414,False,False,25.0,,15-3-2035
876049,"OATIND2,25%25JUL20",FR0010050559,ETAEX,0.01,BOND,2,True,D,EUR,710,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],100.21,2021-04-09,R,0.0,issueid,365004058,False,False,1.0,-0.0001,25-7-2020
5608253,GRIECHENLAND 12-37 15,GR0138009759,GR0138009759,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']",[],134.76,2021-04-09,R,0.0,issueid,150047037,False,False,25.0,,24-2-2037
14135781,REDITUM 15/21,XS1257166956,,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],95.0,2021-04-09,R,0.0,issueid,150079360,False,False,25.0,,20-7-2020
10456081,RUMAENIEN 16/28 MTN REGS,XS1420357318,,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']",[],101.93,2019-03-11,R,0.0,issueid,150083256,False,False,25.0,,
13589460,HOMANN HOLZW IHS.17/22,DE000A2E4NW7,DE000A2E4NW7,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],101.02,2021-03-12,R,0.0,issueid,150044846,False,False,25.0,,14-6-2022
6017011,VOLKSWAGEN INTL 15/UN.FLR,XS1206541366,,0.01,BOND,2,True,B,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']",[],107.95,2021-04-09,R,0.0,issueid,150074040,False,False,25.0,,31-12-2099
13594376,OTTO GCKG MTN 17/24,XS1625975153,XS1625975153,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],102.96,2021-04-09,R,0.0,issueid,600051496,False,False,25.0,,12-6-2024
6254144,ERSTE GP BNK 14-25 MTN,AT0000A19NR2,AT0000A19NR2,0.01,BOND,2,True,D,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'STOPLIMIT', 'TRAILINGSTOP']",[],109.12,2021-04-09,R,0.0,issueid,150052748,False,False,25.0,,22-10-2025
1740915,HELABA 5 1/2%PL,DE000A0E4657,DE000A0E4657,0.01,BOND,2,True,D,EUR,200,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],103.75,2021-04-09,R,0.0,issueid,208656,False,False,1.0,,
853416,DPOSTB FT2 FRNPL,DE000A0DHUM0,DE000A0DHUM0,0.01,BOND,2,True,C,EUR,200,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT']",[],101.5,2021-04-09,R,0.0,issueid,203687,False,False,1.0,-0.0001,
15057069,GRIECHENLAND 18-25,GR0118017657,,0.01,BOND,2,True,C,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],112.605,2021-04-09,R,0.0,issueid,600060629,False,False,25.0,,12-2-2025
11429522,GEN. CATALUNYA 04-34,ES0000095853,ES0000095853,0.01,BOND,2,True,C,EUR,195,False,"['DAY', 'GTC']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']","['LIMIT', 'MARKET', 'STOPLOSS', 'STOPLIMIT', 'TRAILINGSTOP']",[],136.09,2021-04-09,R,0.0,issueid,150064763,False,False,25.0,,28-10-2034
