,nombre,renta_media_disponible,Codigo_postal
253, Plaza de España Plaza Francisco Sarmiento ,24.596,09005
254, Villatoro Cementerio San José ,24.549,09006
255, San Cristóbal Gamonal ,20.877,09007
256,resto Burgos,28.703,09
257, Valladolid ,24.349,47186
258, Centro Paseo Isabel La Católica Plaza España ,81.614,47001
259, Centro Universidad Plaza San Juan ,28.213,47002
260, Las Moreras Rondilla Hospital Centro San Miguel ,27.467,47003
261, Recoletos San Andrés Caño Argales ,28.278,47004
262, Plaza Circular Las Batallas ,20.859,47005
263, Paseo Zorrilla Cuatro de Marzo ,26.151,47006
264, Campo Grande Arco Ladrillo ,24.937,47007
265, Parque Alameda Covaresa ,26.286,47008
266, La Overuela Navabuena ,23.416,47009
267, Rondilla Santa Clara Barrio España ,18.863,47010
268, San Pablo Barrio España Barrio Belén Pilarica ,20.442,47011
269, Arcas Reales Pajarillos ,19.021,47012
270, Delicias ,19.236,47013
271, Parquesol Huerta Del Rey ,25.562,47014
272, Villa Del Prado ,27.663,47015
273, Parquesol ,30.46,47016
274,resto Valladolid,22.006,47
275, Albacete ,22.463,02003
276, San Antonio Abad  La Pajarita  Polígono de San Antón  Centro ,25.897,02001
277, Parque Sur Huerta de Marzo ,25.262,02002
278, Franciscanos ,23.203,02003
279, Fátima  Villacerrada ,19.833,02004
280, Industria  El Pilar  Feria  Ntra. Sra. de Cubas ,21.829,02005
281, San Pedro  Mortero  Pedro Lamata  Santa Teresa  Sepulcro Bolera  San Pablo ,21.27,02006
282, Campollano ,22.679,02007
283, La Estrella  La Milagrosa  Hermanos Falcó  Universidad ,23.403,02008
284, Aguas Nuevas ,20.914,02049
285,resto Albacete,19.068,02
286, Badalona ,22.911,08015
287, Casagemes ,28.813,08911
288, Badalona ,27.203,08912
289, La Salut ,19.726,08913
290, Centro ,19.341,08914
291, Morera ,22.783,08915
292, Mas Ram ,29.211,08916
293, Montigala ,21.6,08917
294, Sant Roc ,18.643,08918
295,resto Badalona,19.616,0891
296, Barcelona ,30.938,08019
297, Ciutat Vella El Raval ,19.974,08001
298, Barrio Gótico ,26.617,08002
299, Barceloneta y Sant Pere ,24.527,08003
300, Pueblo Seco ,23.099,08004
301, El Poblenou ,31.897,08005
302, Sant Gervasi ,41.785,08006
303, Passeig de Gràcia Rambla de Catalunya ,46.34,08007
304, Diagonal Provença ,47.282,08008
305, Dreta de L Eixample ,41.086,08009
306, Tetúan Urquinaona ,39.565,08010
307, Urgel Sant Antoni ,31.554,08011
308, Vila de Gracia ,30.316,08012
309, Glories Catalanes ,28.522,08013
310, Hostafrancs Sants ,26.968,08014
311, Sant Antoni ,29.537,08015
312, La Prosperitat Porta ,22.212,08016
313, Vallvidrera Tibidabo i Les Planes ,73.747,08017
314, Sant Martí ,27.889,08018
315, Diagonal Mar i El Front Maritim Del Poblenou ,27.664,08019
316, La Verneda i La Pau ,22.984,08020
317, Muntaner ,72.231,08021
318, Sant Gervasi La Bonanova ,51.993,08022
319, Vallcarca i Los Penitentes ,35.067,08023
320, Gracia La Salud ,28.948,08024
321, Sagrada Familia ,28.125,08025
322, El Clot ,25.538,08026
323, La Sagrera ,24.978,08027
324, Les Corts ,29.62,08028
325, L Nou Esquerra de L Eixample ,35.017,08029
326, Sant Andreu Bon Pastor ,25.475,08030
327, Vilapicina i La Torre Llobeta ,23.976,08031
328, El Carmelo El Guinardó ,24.471,08032
329, Vallbona Ciutat Meridiana Torre Baro Canyelles ,19.519,08033
330, Pedralbes Sarriá ,63.947,08034
331, Sant Genís Dels Agudells Vall D  Hebrón Horta ,27.121,08035
332, L Antiga Esquerra de L Eixample ,37.467,08036
333, Verdaguer L Eixample ,35.899,08037
334, Sants  Montjuic La Marina de Port ,23.222,08038
335, Guinardó i Hospital de Sant Pau ,26.715,08041
336, La Guineueta Verdún ,21.639,08042
337,resto Barcelona,34.115,080
338, Hospitalet de Llobregat ,21.602,08101
339, Centre Sant Josép ,23.939,08901
340, Santa Eulalia El Gornal ,23.669,08902
341, La Torrassa ,20.577,08903
342, Collblanc ,19.701,08904
